employee_id,gender_binary,Cad Count,Complaints Count Sus,Complaints Count,Highest Rank,Io Report Count,Dollars Earned (Gross),Certifications Count,Unit Count,Military Experience,Hours Worked,Max. Comp. Rate,Promotion Count,American Indian/Alaska Native,Asian,Black or African American,Hispanic or Latino,Nat Hawaiian/Oth Pac Islander,Two or More Races,Unknown,White,Last Pay Year,Year of Birth
17334,0,19181,29,40,4,2603,1383753.04,2,5,0,25142.5,75.28,0,0,0,0,0,0,0,1,0,2024,1969
15200,0,645,2,2,10,229,1998311.98,3,4,0,35415.93,99.88,4,0,1,0,0,0,0,0,0,2024,1968
14486,0,5739,2,4,4,518,1123362.1,0,2,1,22998,94.66,0,0,0,0,0,0,0,0,1,2021,1972
13071,1,1443,3,6,12,57,1409014.89,0,7,1,21843.81,108.9,3,0,0,0,0,1,0,0,0,2021,1969
15898,0,96,4,5,12,3,1715921.82,2,7,0,33237.5,93.82,5,0,0,0,0,0,0,0,1,2024,1966
15399,0,1380,7,13,12,109,1979472.95,5,9,1,30400.75,96.88,6,0,0,1,0,0,0,0,0,2024,1976
13533,0,11697,8,15,4,2408,1364212.92,3,2,0,24838.35,75.28,0,0,0,0,0,0,0,0,1,2024,1966
13659,1,17967,1,2,8,1674,1508894.76,5,4,0,26142,86.63,3,0,0,0,0,0,0,0,1,2024,1971
15036,1,857,5,10,12,143,2236893.55,3,3,0,42090.93,90.63,1,0,1,0,0,0,0,0,0,2024,1974
17950,0,11097,2,4,4,1133,861045.2,0,2,0,22931.75,75.345,0,0,0,0,0,0,0,0,1,2023,1960
17034,0,2216,0,2,9,401,1240900.6,0,4,0,26464.25,75.345,3,0,0,0,0,0,0,0,1,2024,1977
16251,0,2906,6,6,16,296,1972041.88,4,6,0,38301.2,136.261,3,0,0,1,0,0,0,0,0,2024,1973
17914,0,5458,0,0,6,462,897530.43,0,2,0,17769,95.54,0,0,0,0,0,0,0,0,1,2021,1969
17961,1,2320,10,17,12,222,1601183.06,2,12,1,27844.3,93.82,3,0,0,0,0,0,0,0,1,2024,1976
15271,0,2296,5,12,12,55,1466637.65,5,8,1,26069,100.76,2,0,0,0,0,0,0,0,1,2024,1975
16803,0,49,0,0,6,74,870581.72,0,1,1,17288,95.54,0,0,0,0,0,0,0,0,1,2020,1976
14496,0,2885,0,0,4,122,1694677.18,4,2,0,28357,100.76,0,0,0,0,0,0,0,0,1,2024,1967
14422,0,2230,7,19,12,35,1786291.46,5,10,0,29433.71,112.38,5,0,0,0,0,0,0,0,1,2024,1976
15767,1,5430,0,1,6,926,1027874.02,0,2,0,19503.5,99.9,0,0,0,0,0,0,0,0,1,2022,1956
13916,0,20137,4,10,4,8630,1313875.7,4,7,0,25667.75,97.72,0,0,0,1,0,0,0,0,0,2024,1964
16376,0,10922,2,2,4,1042,1958392.31,2,4,0,32483.75,94.66,0,0,0,0,0,0,0,0,1,2024,1974
16861,0,1065,1,2,6,210,1785350.83,5,3,0,31002.87,99.02,1,0,0,0,0,0,0,0,1,2024,1974
14354,0,3742,3,3,4,369,507768.78,0,2,0,11095.05,93.36,0,0,1,0,0,0,0,0,0,2017,1972
16948,1,5408,1,1,5,1154,1200236.5,0,4,0,23947.25,99.9,2,0,0,0,0,0,0,0,1,2023,1969
13585,0,1433,0,1,6,134,1816215.15,5,3,0,30783.47,99.9,1,0,0,0,0,0,0,0,1,2024,1972
16835,1,9181,5,12,8,625,1711577.98,0,6,0,27041.5,84.285,0,0,0,0,0,0,0,0,1,2024,1961
15273,0,12833,1,2,4,2081,1438656.82,4,3,0,26030.5,97.72,0,0,0,0,0,0,0,0,1,2024,1968
14285,0,7771,5,10,4,625,591195.88,0,2,0,12304.25,97.72,0,0,0,0,0,0,0,0,1,2018,1966
15469,0,24,0,1,6,38,889157.28,0,3,0,17770,71.655,0,0,0,0,0,0,0,0,1,2021,1972
16813,0,7192,5,10,6,537,1340490.28,5,6,0,29019.25,71.37,2,1,0,0,0,0,0,0,0,2024,1983
16140,0,9766,0,4,12,1982,1981636.86,2,6,0,29675.75,97.72,5,0,0,0,1,0,0,0,0,2024,1972
16135,0,668,0,1,14,155,1906823.88,5,6,0,26956.39,124.1839,4,0,0,0,0,0,0,0,1,2024,1970
15236,0,16728,9,15,4,2796,1335744.16,0,3,0,24711.75,75.345,0,0,0,0,0,0,0,0,1,2023,1970
17447,0,14505,3,3,4,2085,923253.71,0,3,0,17925.75,73.29,0,0,0,0,0,0,0,0,1,2021,1971
15027,0,2229,2,4,14,441,1927451.21,4,3,0,46604.31,118.76,4,0,0,0,0,0,0,0,1,2024,1976
17312,0,15990,1,2,4,2450,1444671.46,4,4,0,25918,88.7,0,0,0,0,0,0,0,0,1,2024,1969
13973,0,11894,1,1,6,655,1354342.82,0,3,0,24486.91,97.72,2,0,1,0,0,0,0,0,0,2021,1975
17416,0,4341,2,6,4,390,274239.83,0,1,1,5897.03,72.075,0,0,0,0,0,0,0,0,1,2015,1971
12856,1,3772,3,4,4,1535,876838.59,0,2,0,17863.25,73.29,0,0,0,0,0,0,0,0,1,2021,1960
14425,0,3282,3,10,8,191,1636329.27,5,3,0,26122.75,112.38,2,0,0,0,0,0,0,0,1,2024,1971
14606,0,14935,4,7,4,2050,1103720.57,0,3,0,20756.25,73.29,0,0,0,0,0,0,0,0,1,2022,1972
